,Store Name,Review 1,Review 2,Review 3,Review 4,Review 5
0,ASOS,,,,,
1,Argos,Purchased a television last year. That has now gone faulty after only 16 months and Argos have refused to help unless I have an independent report completed at my expense and then send the report to their head office and they have no email address for the head office so it has to be by post. Call taker was so unhelpful and clearly not aware of SOGA,"I ordered a weights bench and weights from Argos simply because the delivery time from Amazon was too slow.It arrived from Argos, as described and the driver was friendly.Also it would have been more expensive to get the weights bench and weights separately from Amazon. I also got 56 days interest-free credit on my Argos store card! 😁Recommended. A+++",Website hard to navigate. However delivery was on time and without problems. Richard Auchincloss,At every stage the process was straightforward and efficient.  Ordering - no problems.  Delivering - within the time frame promised and carried out efficiently.  Installation instructions clear and easy to follow.  One very minor gripe - the pictures in the handbook did not completely match the machine viz a viz display panel.,UPDATE: did exactly what argos told me do.  They keep repeating the same lies like a stuck cd.  It is like taking to a brick wall.  It is crystal clear that argos has to many customers and making far to much profit.
2,Currys,,,,,
3,Moonpig.com,Arrived on time. Nice cuddly,The delivery was great and on time unfortunately the stand on my photo frame snapped of because  the back was fitted so tightly.  I had no time to replace or exchange so had to superglue it back on and now hope it stays put. Moonpig are usually good but on this occasion I was not happy,Excellent. Easy to use for uploading photos and the dispatch of the card I purchased was very quick.  I would recommend Moonpig from my experience with them.,"I received multiple emails pushing me to order, stating “order now, still time for Father’s Day” etc etc. So I spent over £18 on a large card and a gift, ordered on Friday, was told by moonpig it would be delivered on Sunday guaranteed (Fathers Day), only to receive an email from Royal Mail the following day stating it would be delivered on Tuesday 21 June, two days after Father’s Day and after my father has left for a three-week holiday, Utterly useless. Be ashamed Moonpig of your marketing hype masking the reality of disappointed customers to whom you fail to deliver. Never again, and I would advise others against as well. This company is simply using marketing as lies.More fool me for following for the hype, when something looks too good to be true, it almost always is.",Easy to use app and cards arrived as ordered and next day. Many thanks.
4,Marks and Spencer,"I made few purchases on 14th of June at Oxford Street store London and the lovely lady at the till convinced me to buy the summer beauty bag on special discount price as I spent specific amount to qualify.I must say this bag is such a clever idea.Getting  all the best beauty brands usually not affordable at original prices in candy pink mesh bag which is a treat itself are like a dream coming true. Amazing choice of items added. Marks and spencer should bring these kind of beauty bags with more different options i-e  prices/ choice options like beauty, hair care. I am truly impressed and amused. This beauty box is like getting a surprise gift/ treat from  Mom.A fully appreciated,recommend and must buy item.",disgusted. ordered my parcel 10 days ago for fathers day and it never showed up. leaving my father in law with nothing to open. was told the earliest next delivery was in 5 days time. Being a food parcel it would all be stale and way past fathers day. the agent I spoke to online was useless and very rude. completely. disappointed.,"The service from the online service is shocking, ordered 2 items, both just left on my doorstep in full view of passers by and yet the delivery email says ‘left is safe place’. I haven’t even designated a safe space. First time rote to M&S received an apology but the same thing happened on the next delivery. Cannot express how disappointed I am with M&S a brand I used to trust and respect. No longer.","I recently purchased several two-button men's polo shirts from M&S.  They are all cotton. The seams are nice and flat and the shirts are all very well made. No designer logos. Nice weight too. They are less than £20 each which is a great buy!  Ralph and Lauren and Lacoste shirts are priced at four times as much. Unless you really need to advertise a logo, I recommend them highly!",Pork belly smells disgusting!!!I will never buy pork from m & s again.Check your farm please!
5,Asda,these ret4rds/mental patients Asda workers will not help you!  they don’t refund and if you have to cancel a collection they will mark as collected! I called them to rebook or have a refund and the wh0re said everything would be done in two hours but didn’t do sh** but sit her flat ass on whatever it was and continue with her day.,Terrible customer service from ASDA. Falsely accused by a rude and aggressive manager of not paying for goods when I clearly had.,"In my opinion, ASDA is the worse of the big four. I find the selection limiting, especially when I shop at my local Tesco or Morrisons. This means, I have to shop at multiple stores to get the items I need. The quality of meat, especially steaks, are thin, limited amount of fat, and looks like a bottom of a shoe. I do find, my local ASDA prices can be higher on items than my local Tesco. I avoid my local ASDA as much as possible due to its limited selection, poor quality, and prices.   As for using their online grocery delivery service. I will not use it anymore due to their bizzarre subsitions and multiple substitutions","Disgusting, their online robot is infuriating & unusable they send substitutes which are laughable and everything you ordered for home delivery has the shortest used by date possible. 2 days for a large pack of ham as well as the rest of the fresh produce in my order? Looks like im only eating 2 days this week.Bye bye from me iv tolerated quite a few late deliveries, short dates numerous appalling substitutes but a full shop almost that has to be eaten within 2 days was your final insult. To the packer who picked my items, well done moving yourself 1 step further to the unemployment queue by losing another customer","Can I just say a big thank you to all the girls at this counter for there assistance  and advice one of them even seen us waiting to get served she was going for her break she took off her jacket washed her hands and began serving , there were all friendly, polite,  and helpful, hope you are all appreciated by managers & owners once again girls cheers cbruce"
6,Matalan,I am appalled and disgraced  at the lack of customer service provided by Matalan after the years of custom I have given to them. I bought my Mum and Dad £50 worth of gift cards each Christmas of 2019 for my Mum to then die January 2020 (one month later). Mum put the cards somewhere safe as Dad had other things on his mind at that time and it wasn't until my Dad passed away last week (May 2022) that we found the gift cards..... I explained this to Matalan Customer Services and asked if they would honour the cards as a sign of good will to be told NO!!! They then offered me £10 in place of the £100 I had paid which is rejected and told them to close my account ..... They have still rejected my request and now cancelled my reward card.... What an unprofessional inconsiderate company with no Customer Service and total disregard for their customers. It is appalling.,"If I could rate ZERO I would.  Staff are rude and unhelpful since self service.  I can assure you I am not an idiot and dislike being treated like one.  My card is split, wont swipe I ask for help, yet the staff are rude, lazy and arrogant. One woman said she worked for Sainsburys for 15 years but was laid off... can understand why as she was very rude and unhelpful.  I may shop online again but will CERTAINLY NOT visit the Swansea Cwmdu store ever again.",My order hasn’t arrived yet. No update no dispatch information at all.,"Ordered a suitcase online paid for it ,only to be told after 4 days of waiting that the suitcase was not in stock, however I checked evey day multiple times and the suitcase I ordered was infact in stock ,even straight after I received the email telling me I was not going to receive my item,  it was in stock surprise surprise,  and guess what this is not the first time this has happened to me ,completely unexpectable, order number 52111584 let's see if you get back to me ,doubt it disgusting customer service","Ordered some baby clothes using a refund card from Christmas gifts that were too small and also my own money. Vests arrived burst out of packet and with one missing which had obviously happened before they were packaged to send to me. They insisted on only refunding the refund card even though I no longer had it, told me that was my problem because I was “told the terms and conditions when I bought the gift card” I didn’t buy it, I was told nothing of the kind and why not just refund me the part I paid with cash?? Months of emails. Given up. Absolutely garbage customer service."
7,Amazon.co.uk,This company is a nightmare to deal with when things go wrong you get made promises on people calling you back never do you get passed from pillow to post trying to sort the issue out they say you will get your money back but boy im fighting with them they say everything will be resolved within 24 hours this 24 hours have turned into 2 weeks and still getting passed around to different people not happy I have been a loyal customer over the years but am now at the stage of cancelling all my subscriptions with them,"Been converting an old mountain bike into an electric bicycle, so needed some new brakes went on Amazon uk site to order a set of front and rear V- brakes made by a manufacturer called RUJOI received the package a few days later but totally different make to what was ordered. These were all plastic not alloy as stated inferior Chinese  rubbish dangerous  and should not be for sale, if anyone buys RUJOI brakes from Amazon please make sure they have RUJOI written on the arms  if not send them straight back as they are unfit for purpose and could cause an accident or even worse get someone killed. RUJOI are a reputable good quality brake and have had bad press by Amazon. When I posted a review on Amazon they refused to publish it because it did not meet their guidelines.","An item never arrived. I wrote about it as a review,and Amazon didn't accept it, removed my comment . Awful company.","This is a copy of a message I received from a seller. He had stated in a previous message that he would not refund unless I removed my review. When I stated that I did not take to being blackmailed he/she wrote the following:Dear seller:Hello!1. You didn't understand me correctly, you misunderstood me.2. I did not blackmail you to delete the bad review, but your review is not true, and I hope you can send a photo so that I can better solve the problem for you, but I have not received the photo, how can I prove it Is what you said true? If you don't send photos, how can I know which one the warehouse sent for you? Our warehouse sends so many goods every day, are you sure you sent it wrong?3. I am not a poor seller. This has nothing to do with poor sellers. It is impossible to send this product to you. I now think that you want to defraud my product. I will apply for Amazon to investigate your account, whether it is normal or not. If your account has been refunded more recently, Amazon will officially close your account, so please don't deceive me.4. You are very irrational, and I suspect that you often defraud goods and defraud products on Amazon. Your behavior is very bad, which has seriously affected the Amazon platform. Hope you can stay sane.5. I never stated that I would not give you a refund, but you never gave me a chance to solve the problem for you from the beginning, and you did not send the photos related to the product, how can I be sure that I sent the wrong item. I will apply to the Amazon official to view your Amazon account and investigate your related behavior through the relevant legal team, please know.6. The address is as follows:Address: BLUEWHITEL, 101SHOUSE, 2ARISTOLWAY, SLOUGH, SLOUGHPostcode: SL13QEName: Raf Huer I am apparently the person in the wrong.  If I get my money back I will be closing my account.","Absolutely garbage, never delivered on the day its supposed to be if at all."
8,Dunelm,"So, my partner and I ordered a wooden stool. Very reasonable price, but yet they couldn't deliver it, we had to travel 1hr to go and pick it up. So, it took us about 1.5hrs to get there with public transport, we get there, the stool is broken, refund is given, nice. This visit to the store could have been prevented if Dunelm did a QA check upon arrival of the product to the store we picked it up from. The only positives in this entire experience were that they have stellar employees and the refund was issued instantly, without any hassle. Super-friendly front-facing staff. But, the rest of the customer experience was absolutely terrible. Dunelm, just do better.",Ordered 2 suitcases from Dunelm online was only available for delivery and charged for it to be delivered on a certain day.Which then did not arrive until 4 days later.Then found a £45 ticket attached to a case I paid £55 for?Dunelm never answered my query about any of my problems,"I ordered four items which came in three different deliveries and I was given no choice regarding when for any. Delivery of my furniture items required two person delivery but only one was provided (not sure who was at fault here - Dunelm or the carrier). I was asked by the person delivering if I could help carry the items. As I have a prolapsed disc in my spine the answer was unfortunately a ""no"". The person struggled to carry them and one box was placed the wrong way up. The box stated in large writing words to the effect that placing the item this way up could cause damage.One of the pieces of furniture was slightly damaged and there was an issue with assembly. I tried to contact Dunelm. Their website says the quickest way to make contact was via the online chat but this was never working. I sent two messages via the online form but never got a reply other than one telling me the quickest way to make contact is via the online chat! I gave up in the end.",Great store easy website efficient click & collect,"I always go to the Horsham Store the Staff are very friendly and helpful, the store is clean and they keep it very tidy and well stocked"
9,Halfords Retail,"the chaps at the Paisley Halfords were Ace. Especially the boss man that rose to the challenge!I walked in 8:30am, and said I have a wee challenge for uz. Got a tricky bulb change to get done and need to be back on the motorway in less than 1/2 an hour to get to my hospital job. The chap got this done and dusted in less than 15 min!! I'm usually good with handy jobs but this was ridiculously hard to do and not user friendly at all on the vw Passat front lights. But he made it look easy. Well done, excellent rapid service.","After buying a webcam, I have only just got round to setting it up, The App does not work correctly so is not connecting the webcam. when I looked this seems to be an issue that has been ongoing, so my question is If their app is not working why are you selling the cams?",They get 2 stars because the mechanic who 'assembled' my bike was attentive. Very disappointed and I am going to draw more attention to this.,"Customer service was the worst I’ve ever experienced. Completely uninterested, rude and hugely unhelpful. Paid to have the bike built, and the form has been completed to say they have checked suitability and fitting for my daughter, she hasn’t even stood near the bike let alone sat on it or had anything adjusted. Asked for a stand at the time of order, no stand fitted, when I mentioned it was on the original order, they went and found one and tried to charge me a further £5 to fit. Appalling customer service throughout and somewhere I will not be going back.","Products were fine, ready in an hour, staff at click and collect counter were pre occupied i seem to be a bit of inconvenience"
10,Screwfix,I went to Screwfix in Bletchley to get nails for a hired nailer. I asked for help with the size of nails I needed for the nail gun only to be told ‘we don’t give advice’ . I then informed her we needed a certain size nails for the gun and asked for the manager to help. She said he wasn’t in and all the Saturday staff were 17 and did not know anything and could not give advice!! Very poor show Screwfix and also worrying to leave just 17 year olds running a DIY store. I most likely won’t use you again.,Always a first class service I wish I could get that sort of service every were.,"As part of renovating an old property I've made 100's visits to screwfix. The store staff (especially at East Grinstead) are super. I recently decided to order a couple of items for home delivery. What a shambles. Firstly an email saying one was actually out of stock and they wouldn't get it again, followed by a tub of adhesive where the lid had come off going everywhere. Clearly rubbish packaging - no tape, paper or anything. And to top it off, they called me saying the item actually was in stock (after I'd already gone elsewhere). I won't be ordering for home delivery again, simply very poor customer experience.",Just today I recieved scam from Screwfix saying that 'fathers day free Dewalt Screw if you send the message to min 20 people via whatssapp' Do not even bother it is scam once you forward message to 20 people in your address book then they say system crashed. Basicaly screw fix untrusted company suggested use b&q,"Always had a fantastic service at the Evesham store, moved up to Fraserburgh and the service is even better. Must have spent nearly 2k in the last 3 weeks on 30 or 40 orders and everyone has been spot on.Did have 2 issues, a fault mountfield strimmer that would not start, had a chat with support who told me to empty the petrol tank and leave it 24 hours. Then take it back to the store for a replacement / refund (went for a replacement) the staff where on the ball no arguments and replacement arrived 3 days later for me to collect.2nd issue was a special offer with no stock in the country, spoke to customer care via FB messenger and they placed a credit on my account. Once the item was in stock but the offer was over, called up sales and got the offer price.Some of the best service in store and online by any British company, well done."
11,Ticketmaster UK,,,,,
